idx,A,B,C,mu,alpha,ehomo,elumo,egap,R2,zpve,U0,U,H,G,Cv,E
1,1.64376,1.23423,0.79442,1.5748,93.77,-0.00239,-0.2332,0.23081,1537.8865,0.190552,-425.206522,-425.196726,-425.195781,-425.241574,37.096,-425.397073606
2,1.65608,1.22384,0.79511,1.3536,93.3,-0.00756,-0.23753,0.22997,1536.1613,0.19083,-425.20926,-425.199527,-425.198583,-425.244189,37.02,-425.400089674
4,1.42525,1.36486,0.74364,1.9258,93.22,0.00705,-0.22763,0.23468,1587.375,0.190216,-425.206445,-425.196512,-425.195568,-425.241794,37.318,-425.396660525
8,1.4859,1.33822,0.74634,1.2085,93.2,-0.00705,-0.23634,0.22929,1580.5659,0.190901,-425.208116,-425.198459,-425.197515,-425.242956,36.992,-425.399017372
12,1.48579,1.34424,0.74664,1.6596,93.66,-0.00202,-0.23194,0.22992,1581.0531,0.190522,-425.205486,-425.195724,-425.19478,-425.240521,37.124,-425.396007888
13,1.80419,1.20433,0.79386,1.3579,93.34,-0.00627,-0.23741,0.23114,1518.4727,0.19084,-425.209467,-425.199757,-425.198813,-425.244416,36.983,-425.400306916
23,2.62487,0.85428,0.83033,1.9218,87.76,-0.01414,-0.24592,0.23178,1506.2286,0.142165,-422.761396,-422.752368,-422.751424,-422.796164,34.479,-422.903560913
24,2.6387,0.86673,0.81504,1.2373,87.92,-0.00796,-0.24224,0.23428,1510.2028,0.142063,-422.762066,-422.75297,-422.752026,-422.797061,34.583,-422.904128769
41,2.3605,0.91279,0.66681,0.9524,71.34,-0.01541,-0.24434,0.22893,1547.7833,0.117427,-545.119347,-545.110749,-545.109805,-545.153358,32.391,-545.236773523
42,2.37339,0.9204,0.66596,2.1518,71.48,-0.00724,-0.23724,0.23,1545.3198,0.116985,-545.118064,-545.109287,-545.108342,-545.152372,32.663,-545.235048533
48,2.20523,1.03112,0.7478,0.6475,87.74,0.01178,-0.19849,0.21027,1561.1788,0.166181,-461.132253,-461.122899,-461.121955,-461.166862,35.904,-461.29843405
49,2.53262,0.91065,0.6755,0.4826,88.44,0.01327,-0.19931,0.21258,1676.1442,0.166021,-461.134865,-461.125425,-461.12448,-461.169539,35.936,-461.300885686
50,2.57363,0.90876,0.67734,2.8633,87.59,0.01277,-0.20186,0.21463,1669.4009,0.166336,-461.141966,-461.13258,-461.131636,-461.1768,35.704,-461.308301711
52,4.83149,0.62465,0.55614,2.8792,89.56,-0.00625,-0.21318,0.20693,1890.3727,0.144661,-418.997611,-418.988818,-418.987873,-419.032145,32.897,-419.142271617
53,2.8945,0.81756,0.72827,3.0882,87.49,-0.00377,-0.21268,0.20891,1585.9393,0.144981,-418.998712,-418.990031,-418.989087,-419.033257,32.802,-419.143693393
60,2.61847,0.94472,0.70139,3.8378,86.03,-0.02881,-0.20729,0.17848,1561.17,0.144677,-456.160279,-456.151373,-456.150428,-456.194062,34.963,-456.304956173
61,2.60802,0.94156,0.70158,5.2358,85.9,-0.02994,-0.20817,0.17823,1560.3073,0.144672,-456.159157,-456.150247,-456.149303,-456.192943,34.923,-456.303829207
64,2.61771,0.94388,0.70225,2.717,86.01,-0.02851,-0.20766,0.17915,1560.791,0.144731,-456.160515,-456.151628,-456.150684,-456.194269,34.898,-456.305246241
65,2.6051,0.94173,0.7024,4.2907,85.85,-0.02988,-0.2088,0.17892,1559.5601,0.144783,-456.159561,-456.150687,-456.149742,-456.193306,34.807,-456.304344756
70,4.1281,0.57957,0.53408,2.7241,91.25,-0.02609,-0.24143,0.21534,2029.1966,0.166746,-424.026067,-424.016798,-424.015854,-424.062265,33.791,-424.192812152
72,2.83678,0.7264,0.6693,2.8514,89.76,-0.02345,-0.23934,0.21589,1740.9361,0.1668,-424.024892,-424.015667,-424.014723,-424.061224,33.786,-424.191691913
