molecule_id,index,size
3,3,4
3,4,4
3,14,4
3,26,4
10,61,24
10,62,24
10,63,24
10,64,24
10,66,24
10,67,24
10,68,24
10,69,24
10,70,24
10,71,24
10,72,24
10,74,24
10,76,24
10,81,24
10,82,24
10,87,24
10,88,24
10,89,24
10,90,24
10,97,24
10,98,24
10,103,24
10,105,24
10,112,24
13,133,20
13,134,20
13,135,20
13,136,20
13,137,20
13,138,20
13,139,20
13,141,20
13,144,20
13,145,20
13,146,20
13,147,20
13,148,20
13,149,20
13,153,20
13,160,20
13,161,20
13,163,20
13,164,20
13,166,20
19,209,13
19,212,13
19,214,13
19,215,13
19,216,13
19,217,13
19,218,13
19,219,13
19,221,13
19,224,13
19,229,13
19,241,13
19,243,13
20,248,13
20,249,13
20,251,13
20,252,13
20,253,13
20,254,13
20,255,13
20,257,13
20,259,13
20,266,13
20,268,13
20,291,13
20,302,13
21,305,4
21,306,4
21,308,4
21,309,4
22,315,6
22,316,6
22,317,6
22,322,6
22,329,6
22,336,6
23,353,9
23,354,9
23,355,9
23,357,9
23,358,9
23,360,9
23,369,9
23,370,9
23,387,9
24,404,13
24,405,13
24,406,13
24,408,13
24,410,13
24,411,13
24,415,13
24,417,13
24,418,13
24,419,13
24,422,13
24,436,13
24,437,13
25,455,9
25,456,9
25,459,9
25,461,9
25,463,9
25,465,9
25,467,9
25,469,9
25,470,9
26,483,2
26,484,2
27,488,4
27,489,4
27,493,4
27,517,4
28,528,18
28,529,18
28,530,18
28,534,18
28,535,18
28,541,18
28,542,18
28,543,18
28,547,18
28,551,18
28,556,18
28,558,18
28,563,18
28,566,18
28,567,18
28,570,18
28,575,18
28,585,18
29,597,2
29,599,2
30,605,22
30,606,22
30,607,22
30,608,22
30,609,22
30,610,22
30,612,22
30,618,22
30,620,22
30,622,22
30,626,22
30,632,22
30,633,22
30,634,22
30,639,22
30,640,22
30,644,22
30,648,22
30,649,22
30,658,22
30,664,22
30,675,22
31,695,2
31,697,2
32,704,5
32,705,5
32,706,5
32,708,5
32,716,5
33,718,2
33,720,2
37,737,15
37,738,15
37,739,15
37,740,15
37,743,15
37,744,15
37,746,15
37,752,15
37,757,15
37,760,15
37,770,15
37,771,15
37,778,15
37,784,15
37,791,15
38,796,2
38,797,2
40,876,2
40,877,2
41,882,3
41,884,3
41,888,3
42,893,5
42,895,5
42,896,5
42,899,5
42,900,5
48,933,40
48,934,40
48,935,40
48,936,40
48,937,40
48,938,40
48,940,40
48,941,40
48,943,40
48,944,40
48,945,40
48,946,40
48,947,40
48,948,40
48,949,40
48,951,40
48,952,40
48,953,40
48,954,40
48,956,40
48,957,40
48,958,40
48,959,40
48,960,40
48,965,40
48,966,40
48,967,40
48,968,40
48,969,40
48,970,40
48,972,40
48,973,40
48,975,40
48,976,40
48,989,40
48,990,40
48,991,40
48,994,40
48,996,40
48,998,40
50,1030,2
50,1034,2
52,1041,3
52,1042,3
52,1053,3
55,1099,5
55,1100,5
55,1103,5
55,1104,5
55,1108,5
56,1119,3
56,1122,3
56,1126,3
57,1135,124
57,1136,124
57,1137,124
57,1138,124
57,1139,124
57,1140,124
57,1141,124
57,1142,124
57,1143,124
57,1144,124
57,1145,124
57,1146,124
57,1147,124
57,1148,124
57,1149,124
57,1150,124
57,1151,124
57,1152,124
57,1153,124
57,1154,124
57,1155,124
57,1156,124
57,1158,124
57,1159,124
57,1160,124
57,1161,124
57,1162,124
57,1163,124
57,1164,124
57,1165,124
57,1166,124
57,1167,124
57,1168,124
57,1170,124
57,1174,124
57,1175,124
57,1176,124
57,1177,124
57,1178,124
57,1179,124
57,1180,124
57,1181,124
57,1183,124
57,1184,124
57,1185,124
57,1186,124
57,1187,124
57,1188,124
57,1189,124
57,1190,124
57,1191,124
57,1193,124
57,1194,124
57,1195,124
57,1197,124
57,1199,124
57,1200,124
57,1202,124
57,1203,124
57,1204,124
57,1206,124
57,1207,124
57,1208,124
57,1209,124
57,1210,124
57,1212,124
57,1213,124
57,1214,124
57,1215,124
57,1216,124
57,1217,124
57,1218,124
57,1219,124
57,1221,124
57,1223,124
57,1224,124
57,1225,124
57,1226,124
57,1227,124
57,1229,124
57,1231,124
57,1232,124
57,1233,124
57,1234,124
57,1235,124
57,1236,124
57,1237,124
57,1238,124
57,1239,124
57,1240,124
57,1241,124
57,1242,124
57,1243,124
57,1244,124
57,1245,124
