step,epoch,Cyclic_train,Cyclic_val,Cyclic_test,Decay_train,Decay_val,Decay_test
1000,1.01010101,6.7301,6.918,6.9037,9.6435,8.878,9.1305
2000,2.02020202,6.1441,5.3369,5.4094,6.469,7.2069,7.5018
3000,3.03030303,7.573,5.3774,5.436,5.0966,7.2248,7.3927
4000,4.04040404,5.7685,4.5097,4.5143,4.2225,4.7875,4.856
5000,5.050505051,3.6477,4.1133,4.0084,4.6671,4.6141,4.6386
6000,6.060606061,3.5157,3.8153,3.8412,4.7411,4.308,4.3191
7000,7.070707071,4.316,3.5242,3.4535,6.3583,4.0209,4.2137
8000,8.080808081,3.9066,3.5102,3.3863,5.6037,4.3114,4.2143
9000,9.090909091,2.7087,3.2583,3.1191,5.4097,4.0903,4.0331
10000,10.1010101,2.9411,5.4009,5.3362,3.753,3.7229,3.7634
11000,11.11111111,3.1037,2.9596,2.9356,5.3221,3.9824,3.9796
12000,12.12121212,2.8053,3.0282,2.9789,3.4512,3.3648,3.4173
13000,13.13131313,3.5888,3.4015,3.2742,3.3092,3.2465,3.3076
14000,14.14141414,2.9462,2.7732,2.6566,3.0481,3.2392,3.1128
15000,15.15151515,2.3144,2.7571,2.7573,2.6758,3.8799,4.0227
16000,16.16161616,2.8319,3.0622,2.9808,3.3091,3.0246,3.0527
17000,17.17171717,2.8134,2.5363,2.4663,3.5485,2.7843,2.7992
18000,18.18181818,2.4317,3.1975,3.0124,2.5141,2.7983,2.8258
19000,19.19191919,2.8846,2.9157,2.8292,2.8646,2.699,2.7301
20000,20.2020202,2.4594,2.5367,2.4868,2.4635,3.3051,3.3632
21000,21.21212121,2.5774,2.4326,2.3776,2.2237,2.5979,2.5666
22000,22.22222222,2.0837,2.5219,2.5182,2.4109,2.4434,2.4701
23000,23.23232323,2.3715,2.4783,2.4637,2.3452,2.2733,2.3156
24000,24.24242424,1.9627,2.2543,2.244,2.9797,2.559,2.5998
25000,25.25252525,2.2744,2.1992,2.1978,1.9828,2.3734,2.4325
26000,26.26262626,2.0743,2.2365,2.261,2.3338,2.2275,2.2118
27000,27.27272727,2.1124,2.0751,2.0591,3.0598,2.6826,2.6725
28000,28.28282828,2.0309,1.9097,1.8814,2.1396,2.2332,2.1833
29000,29.29292929,1.8202,2.1704,2.1704,2.7709,2.5162,2.5391
30000,30.3030303,1.7702,1.9485,1.9148,2.1463,2.8182,2.7416
31000,31.31313131,2.0644,1.9922,1.9719,2.1012,2.2568,2.1909
32000,32.32323232,1.8068,1.8997,1.9061,2.3112,2.2172,2.1855
33000,33.33333333,1.8307,1.8739,1.8577,2.606,2.208,2.2029
34000,34.34343434,1.7665,1.8628,1.8385,2.6234,2.3555,2.3041
35000,35.35353535,1.5973,1.8765,1.8377,2.1263,3.1814,3.1486
36000,36.36363636,1.4872,1.7134,1.734,1.7683,1.9049,1.9337
37000,37.37373737,2.0538,1.7866,1.7768,2.295,2.3268,2.3205
38000,38.38383838,1.6296,1.7145,1.7326,2.2279,2.0852,2.0852
39000,39.39393939,1.7623,1.7179,1.7093,2.1905,2.2493,2.2578
40000,40.4040404,1.512,1.791,1.756,2.5896,2.2186,2.2613
41000,41.41414141,1.6476,1.668,1.6975,1.986,1.9374,1.9897
42000,42.42424242,1.4744,1.6762,1.7014,1.8187,1.8943,1.9325
43000,43.43434343,1.4823,1.6804,1.6814,1.8862,2.2388,2.2755
44000,44.44444444,1.6881,1.7004,1.7463,2.2498,2.2069,2.1936
45000,45.45454545,1.8241,1.6481,1.6979,1.8881,1.7923,1.7817
46000,46.46464646,1.6172,1.6539,1.6735,1.9951,1.8128,1.7635
47000,47.47474747,1.6397,1.6207,1.6515,2.563,2.3986,2.45
48000,48.48484848,1.8122,1.6422,1.6687,2.0468,1.827,1.7955
49000,49.49494949,1.6942,1.6283,1.6547,1.8957,2.0493,1.9598
50000,50.50505051,2.2879,2.5929,2.499,1.6726,1.9068,1.9111
51000,51.51515152,2.4711,2.003,1.9622,2.1786,1.8908,1.837
52000,52.52525253,1.773,2.2866,2.2871,2.0175,1.9045,1.9292
53000,53.53535354,2.3191,2.3407,2.1915,1.8236,2.0213,1.9799
54000,54.54545455,1.8934,1.9533,2.0021,1.7244,2.0059,1.965
55000,55.55555556,2.0672,1.985,1.9652,1.6408,1.7043,1.6796
56000,56.56565657,2.0782,2.5492,2.5017,2.1338,1.6918,1.665
57000,57.57575758,2.1946,1.9591,1.9079,1.8659,1.8229,1.8658
58000,58.58585859,3.1307,1.9595,1.8905,1.6339,1.7153,1.6253
59000,59.5959596,2.1853,2.367,2.263,1.7709,1.6573,1.7036
60000,60.60606061,2.051,1.7808,1.7238,1.8993,1.7822,1.7435
61000,61.61616162,1.8714,2.3009,2.2546,1.7072,1.6948,1.6419
62000,62.62626263,1.7383,2.046,2.0299,2.2308,1.6672,1.6334
63000,63.63636364,1.48,1.8183,1.777,1.8515,1.9538,1.9567
64000,64.64646465,1.5782,1.8648,1.9058,1.6925,1.9493,1.9118
65000,65.65656566,1.961,1.7736,1.7621,1.8924,1.8446,1.7966
66000,66.66666667,2.2076,2.3469,2.245,1.8392,1.863,1.8774
67000,67.67676768,2.1561,2.2056,2.1382,1.3998,1.6938,1.7239
68000,68.68686869,1.879,2.0033,1.9397,1.656,1.7863,1.7544
69000,69.6969697,2.318,1.8053,1.772,1.5228,1.6086,1.5637
70000,70.70707071,1.6931,1.65,1.6062,1.655,1.7766,1.7369
71000,71.71717172,2.2227,2.1666,2.0454,1.6907,1.5779,1.5801
72000,72.72727273,1.7579,1.637,1.6192,1.7334,1.6436,1.6431
73000,73.73737374,1.7751,1.5718,1.5506,1.6586,1.7105,1.7149
74000,74.74747475,1.5656,1.5586,1.5072,1.3071,1.6971,1.6948
75000,75.75757576,1.7894,1.5121,1.4807,1.6942,1.6902,1.6369
76000,76.76767677,1.5676,1.9699,1.9263,1.8046,1.5192,1.5584
77000,77.77777778,1.7248,1.613,1.5659,1.4333,1.5669,1.5516
78000,78.78787879,1.437,1.4504,1.4286,1.4031,1.5035,1.504
79000,79.7979798,1.3832,1.642,1.5682,1.5271,1.8606,1.8428
80000,80.80808081,1.629,1.4536,1.4572,1.4588,1.6517,1.6326
81000,81.81818182,1.5475,1.5927,1.55,1.7834,1.675,1.6681
82000,82.82828283,1.3033,1.4156,1.419,1.3818,1.4477,1.5024
83000,83.83838384,1.6579,1.5637,1.54,1.5152,1.5234,1.5279
84000,84.84848485,1.4825,1.4978,1.5291,1.0776,1.4937,1.542
85000,85.85858586,1.3636,1.3744,1.359,1.8059,1.5375,1.5438
86000,86.86868687,1.2782,1.3061,1.308,1.5434,1.5646,1.5651
87000,87.87878788,1.4798,1.5721,1.5357,1.5109,1.52,1.5093
88000,88.88888889,1.3291,1.4275,1.4118,1.3688,1.5633,1.557
89000,89.8989899,1.7163,1.3189,1.3122,1.5386,1.4554,1.4584
90000,90.90909091,1.2936,1.3589,1.31,1.446,1.4347,1.4717
91000,91.91919192,1.5374,1.3297,1.2736,1.3352,1.5399,1.5532
92000,92.92929293,1.2663,1.3069,1.3355,1.4023,1.4774,1.4759
93000,93.93939394,1.3759,1.3146,1.2745,1.3728,1.6698,1.676
94000,94.94949495,1.2704,1.2908,1.2819,2.7769,1.8968,1.8952
95000,95.95959596,1.6122,1.2772,1.2598,1.5138,1.4013,1.4075
96000,96.96969697,1.8385,1.2984,1.2662,1.5141,1.5217,1.5123
97000,97.97979798,1.3019,1.2773,1.2544,1.6633,1.447,1.438
98000,98.98989899,1.0343,1.2724,1.253,1.5014,1.4821,1.4853
99000,100,1.3429,1.2696,1.2538,1.5577,1.4257,1.4606
100000,101.010101,1.8483,2.1338,2.0868,1.4029,1.4092,1.4068
101000,102.020202,1.9739,2.8813,2.8143,1.5244,1.5351,1.5206
102000,103.030303,1.9581,1.4535,1.5031,1.3575,1.3833,1.4287
103000,104.040404,1.5111,1.5613,1.5342,1.4138,1.3588,1.3711
104000,105.0505051,2.0745,2.0722,1.9886,1.2986,1.4792,1.5075
105000,106.0606061,2.6628,2.2486,2.1036,1.4905,1.441,1.4318
106000,107.0707071,2.0554,1.8657,1.8792,1.6136,1.366,1.4196
107000,108.0808081,2.1315,2.5852,2.5774,1.8705,1.7665,1.731
108000,109.0909091,2.2027,1.6969,1.6506,1.6088,1.629,1.6564
109000,110.1010101,1.7009,1.6501,1.5568,1.5559,1.4341,1.4347
110000,111.1111111,1.8035,1.445,1.4388,1.0693,1.3906,1.4037
111000,112.1212121,3.3098,1.6967,1.5577,1.5293,1.3627,1.3767
112000,113.1313131,2.255,1.7657,1.7594,1.4112,1.3826,1.4022
113000,114.1414141,1.4363,1.823,1.7968,1.513,1.4701,1.4583
114000,115.1515152,1.3312,1.4815,1.487,1.3138,1.3274,1.372
115000,116.1616162,1.6647,1.479,1.4556,1.4224,1.3764,1.4007
116000,117.1717172,1.7418,1.4748,1.4519,1.286,1.366,1.3868
117000,118.1818182,1.6316,1.8076,1.8568,1.4927,1.3762,1.4387
118000,119.1919192,1.4694,2.0787,2.1437,1.4082,1.3605,1.3588
119000,120.2020202,1.3573,1.3592,1.4249,1.2899,1.3568,1.3562
120000,121.2121212,1.5212,1.4662,1.4157,1.3352,1.359,1.3814
121000,122.2222222,1.4044,1.9102,1.8263,1.2932,1.3858,1.4019
122000,123.2323232,1.4317,1.4304,1.4044,1.23,1.3201,1.361
123000,124.2424242,1.4235,1.4424,1.416,1.4035,1.3999,1.4145
124000,125.2525253,1.6713,2.0364,1.9256,1.0589,1.3424,1.3777
125000,126.2626263,1.3228,1.9898,2.0321,1.4983,1.3263,1.3487
126000,127.2727273,1.312,1.7895,1.7105,1.5274,1.3223,1.3571
127000,128.2828283,1.3022,1.2738,1.2604,1.4832,1.3145,1.3327
128000,129.2929293,1.4613,1.3238,1.3061,1.2382,1.2962,1.3304
129000,130.3030303,1.3181,1.2349,1.2576,1.3902,1.47,1.5082
130000,131.3131313,1.3481,1.2715,1.2548,1.4158,1.3185,1.3341
131000,132.3232323,1.3577,1.241,1.255,1.6167,1.3294,1.3511
132000,133.3333333,0.9943,1.474,1.4923,1.305,1.3874,1.4072
133000,134.3434343,1.2744,1.4438,1.443,1.5111,1.3183,1.3395
134000,135.3535354,1.3068,1.3287,1.3283,1.4156,1.2936,1.3185
135000,136.3636364,1.1742,1.3406,1.3197,1.5183,1.2955,1.3323
136000,137.3737374,1.2659,1.1984,1.1927,2.0329,1.3294,1.3559
137000,138.3838384,1.1402,1.2306,1.1743,1.4095,1.3659,1.3991
138000,139.3939394,1.8996,1.5561,1.5623,1.1481,1.2854,1.3436
139000,140.4040404,1.1977,1.2076,1.1962,1.3352,1.3147,1.3495
140000,141.4141414,1.0248,1.2085,1.2434,1.5323,1.2892,1.3496
141000,142.4242424,0.9864,1.1604,1.1534,1.3726,1.4407,1.4653
142000,143.4343434,1.1699,1.1663,1.1391,1.3285,1.3244,1.3372
143000,144.4444444,1.2418,1.1687,1.1487,1.3272,1.2939,1.3044
144000,145.4545455,1.1767,1.137,1.1298,1.1636,1.2787,1.3017
145000,146.4646465,1.1387,1.1371,1.1255,1.1944,1.2886,1.3305
146000,147.4747475,0.9205,1.1442,1.1297,1.2487,1.3101,1.3398
147000,148.4848485,1.1394,1.1278,1.117,1.3559,1.2669,1.3009
148000,149.4949495,1.1931,1.1296,1.1145,1.3021,1.3032,1.3237
149000,150.5050505,1.7401,1.5664,1.5205,1.4001,1.2901,1.2998
150000,151.5151515,1.5973,1.4869,1.4583,1.3413,1.2901,1.3124
151000,152.5252525,1.4845,1.8471,1.7514,1.4918,1.3248,1.3355
152000,153.5353535,2.4905,1.5132,1.566,1.4933,1.2988,1.3169
153000,154.5454545,1.9867,1.8903,1.8278,1.2036,1.2817,1.3126
154000,155.5555556,1.64,1.7467,1.7788,1.2958,1.29,1.3132
155000,156.5656566,1.5609,1.8024,1.7252,1.3526,1.3471,1.3711
156000,157.5757576,2.3878,1.4984,1.5564,1.3354,1.3061,1.323
157000,158.5858586,1.4656,1.6042,1.5608,1.3893,1.2939,1.3161
158000,159.5959596,1.594,1.5061,1.4905,1.5057,1.2743,1.3015
159000,160.6060606,1.968,1.4515,1.4376,1.3442,1.2782,1.323
160000,161.6161616,1.7036,1.4683,1.4652,1.5614,1.3542,1.3752
161000,162.6262626,1.5914,1.6829,1.5934,1.2413,1.3325,1.3415
162000,163.6363636,1.3672,1.4984,1.4851,1.0776,1.2929,1.3196
163000,164.6464646,1.4579,1.4231,1.4516,1.3402,1.2875,1.3299
164000,165.6565657,1.3398,1.6406,1.6813,1.2422,1.2592,1.3068
